"","X","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore","ANU.Tones","Tones.diff","specH.mean.center"
"156",156,"bisa","bib","aa",680,TRUE,3,15,41,23,26,"biss1248","Mande",10.4257,-1.67332,52,94,0.0158166494858197,"Mande","Mande","African Savannah",25,3,0,0.476738667725488
"157",157,"Blackfoot","bla","ph",1103,TRUE,0,12,25,17,13,"siks1238","Algic",49.0669,-113.109,72,36,0.00471385063073038,"Algic","Algic","Basin and Plains",21,0,0,-1.97266070541032
"158",158,"Blang; Plang; Bulang; Pulang; Pula; Kawa; K''ala; Kontoi'","blr","ph",1065,TRUE,2,14,40,26,26,"blan1242","Austroasiatic",22.0092,99.7405,58,147,0.013646793977467,"Austroasiatic","Austroasiatic","Southeast Asia",21,2,0,-0.00195528965609178
"159",159,"Blin","byn","gm",1332,TRUE,0,7,38,15,31,"bili1260","Afro-Asiatic",15.7833,38.3917,55,115,0.011394936216589,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23,0,0,-0.498739844602549
"161",161,"Bobo, North","bbo","gm",1512,TRUE,3,13,37,22,24,"nort2819","Mande",12.4182,-4.47538,53,93,0.0137315616326729,"Mande","Mande","African Savannah",23,7,-4,0.0167453861134552
"162",162,"Boiken","bzf","ph",984,TRUE,0,8,25,17,17,"boik1241","Ndu",-3.68297,143.474,45,170,0.0174953291414141,"Ndu","Ndu","N Coast New Guinea",21,0,0,0.847073837242137
"163",163,"Bokala-Nkole","nto","gm",1662,TRUE,0,7,30,13,23,"ntom1248","Atlantic-Congo",-1.99062,18.265,46,105,0.0175380201767677,"Atlantic-Congo","Atlantic-Congo","S Africa",23,4,-4,0.856491948530868
"164",164,"Bole","bol","ph",1195,TRUE,0,10,38,17,28,"nucl1695","Afro-Asiatic",11.4839,11.2322,53,101,0.0122868704384227,"Afro-Asiatic","Afro-Asiatic","African Savannah",21,2,-2,-0.30196935885819
"165",165,"Bongo","bot","ph",1196,TRUE,0,11,29,17,18,"bong1285","Central Sudanic",7.4145,27.9918,51,110,0.0156155664749417,"Central Sudanic","Central Sudanic","African Savannah",21,3,-3,0.432377546964747
"169",169,"Breton","bre","spa",157,TRUE,0,18,42,27,24,"bret1244","Indo-European",48.2452,-3.78934,72,93,0.00872852062567988,"Indo-European","Indo-European","Europe",24,0,0,-1.0869804100793
"172",172,"Bugis","bug","gm",1694,TRUE,0,6,25,14,19,"bugi1244","Austronesian",-4.47,119.977,45,158,0.0185419442890443,"Austronesian","Austronesian","Oceania",23,0,0,1.07796863412885
"175",175,"Bulgarian","bul","uz",2163,TRUE,0,7,30,10,23,"bulg1262","Indo-European",43.3646,25.047,69,108,0.00697476707983683,"Indo-European","Indo-European","Europe",22,0,0,-1.47387770434611
"177",177,"bulu","bum","aa",684,TRUE,5,7,36,14,29,"bulu1251","Atlantic-Congo",3.16141,11.6365,49,101,0.0171731030205905,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,4,1,0.77598721587265
"179",179,"Buol","blf","gm",1676,TRUE,0,6,23,12,17,"buol1237","Austronesian",0.97727,121.519,48,159,0.0184355405439005,"Austronesian","Austronesian","Oceania",23,0,0,1.05449479928269
"180",180,"Burji","bji","gm",1657,TRUE,0,10,36,17,26,"burj1242","Afro-Asiatic",4.44624,38.4646,49,115,0.0126427237393162,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23,0,0,-0.223464212226869
"181",181,"Burmese","mya","uz",2164,TRUE,2,15,56,22,41,"nucl1310","Sino-Tibetan",20.7926,93.9665,58,144,0.017191612972028,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",22,4,-2,0.780070714460667
"183",183,"busa","bqp","gm",1252,TRUE,3,12,31,16,19,"busa1253","Mande",9.91074,4.39929,52,97,0.0159099737643745,"Mande","Mande","African Savannah",23,2,1,0.49732702858602
"184",184,"Buwal","bhs","gm",1402,TRUE,3,2,43,10,41,"buwa1243","Afro-Asiatic",10.6151,13.8838,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,3,0,-0.0711688162999812
"186",186,"Cambodian","khm","spa",14,TRUE,0,21,42,29,21,"cent1989","Austroasiatic",12.0515,105.015,53,150,0.0187591800621601,"Austroasiatic","Austroasiatic","Southeast Asia",24,0,0,1.12589323165036
"187",187,"Campa","cni","spa",110,TRUE,0,4,21,10,17,"asha1243","Arawakan",-11.9311,-73.9073,41,56,0.0096493647968143,"Arawakan","Arawakan","Andean",24,0,0,-0.883832071991688
"189",189,"Carib","car","spa",116,TRUE,0,12,28,18,16,"gali1262","Cariban",5.83772,-56.8323,50,65,0.0170554829817405,"Cariban","Cariban","NE South America",24,0,0,0.750038943442646
"190",190,"Catalan","cat","ph",1138,TRUE,0,16,39,26,23,"stan1289","Indo-European",41.453,1.569,68,96,0.0106998465027195,"Indo-European","Indo-European","Europe",21,0,0,-0.652084269881827
"191",191,"Cavinena","cav","ph",854,TRUE,0,4,24,11,20,"cavi1250","Pano-Tacanan",-13.3544,-66.6277,40,60,0.0150913899708625,"Pano-Tacanan","Pano-Tacanan","NE South America",21,0,0,0.316738452961384
"192",192,"Cayapa","cbi","spa",101,TRUE,0,4,28,13,24,"chac1249","Barbacoan",0.71489,-79.0508,47,53,0.0158830371212121,"Barbacoan","Barbacoan","Andean",24,0,0,0.491384509250355
"193",193,"Cebuano","ceb","gm",1692,TRUE,0,3,21,10,18,"cebu1242","Austronesian",8.38799,124.367,51,160,0.0187799196697747,"Austronesian","Austronesian","Oceania",23,0,0,1.1304686168801
"194",194,"Central Sama","sml","uz",2208,TRUE,0,6,36,18,30,"cent2092","Austronesian",7.004574,118.455978,51,157,0.0189074556701632,"Austronesian","Austronesian","Southeast Asia",22,0,0,1.15860445933577
